id,title,description,image_url,trailer_url,start_to_end_time,rating,release_at,created_at,updated_at
1,Pathaan,"An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.",https://example.com/images/6746.jpg,https://example.com/trailers/7551.jpg,02:15:00,8.0,2023,2025-03-12 07:49:34,2025-03-12 07:49:34
2,Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,https://example.com/images/2196.jpg,https://example.com/trailers/6818.jpg,01:43:00,9.5,2016,2025-03-12 07:49:34,2025-03-12 07:49:34
3,Sanju,"Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life.",https://example.com/images/1285.jpg,https://example.com/trailers/3994.jpg,02:27:00,9.2,2018,2025-03-12 07:49:34,2025-03-12 07:49:34
4,PK,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.,https://example.com/images/7865.jpg,https://example.com/trailers/2459.jpg,03:01:00,9.9,2014,2025-03-12 07:49:34,2025-03-12 07:49:34
5,Tiger Zinda Hai,"Inspired by real events, Tiger Zinda Hai is a sequel to the blockbuster Ek Tha Tiger, and an espionage action drama that follows a daring rescue mission in Iraq.",https://example.com/images/8849.jpg,https://example.com/trailers/3983.jpg,01:30:00,9.3,2017,2025-03-12 07:49:34,2025-03-12 07:49:34
6,Bajrangi Bhaijaan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,https://example.com/images/1104.jpg,https://example.com/trailers/8348.jpg,02:05:00,5.3,2015,2025-03-12 07:49:34,2025-03-12 07:49:34
7,War,"Indian agent Khalid goes on a mission to hunt and eliminate his former mentor, the country's top agent Kabir who has gone rogue. A deadly war begins.",https://example.com/images/3520.jpg,https://example.com/trailers/4403.jpg,01:30:00,5.0,2019,2025-03-12 07:49:34,2025-03-12 07:49:34
8,Padmaavat,"Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar.",https://example.com/images/7738.jpg,https://example.com/trailers/7520.jpg,02:43:00,5.4,2018,2025-03-12 07:49:34,2025-03-12 07:49:34
9,Sultan,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",https://example.com/images/5889.jpg,https://example.com/trailers/7955.jpg,01:39:00,7.3,2016,2025-03-12 07:49:34,2025-03-12 07:49:34
10,Kabir Singh,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.",https://example.com/images/5284.jpg,https://example.com/trailers/6408.jpg,03:38:00,7.4,2019,2025-03-12 07:49:34,2025-03-12 07:49:34
